user01,M1,F1b,3,"Genetically modified organisms (GMOs) are organisms that are created that are not possible through natural means of reproduction or recombinance.  The genetic material may come from animals, bacteria, or plants.  Dr. Harris,  a crop ecologist and expert on GMOs, supports the practice as a solution to the world's food shortage problem.  Dr. Hall, a virologist who is not an expert on GMOs, does not support the practice because GMOs may be harmful to natural organisms and may lead to lower levels of biodiversity.",2,259106
,,,,,,
user01,M1,F3b,5,"Mumps is a contagious disease caused by the mumps virus.  it can be prevented with the MMR vaccine, which stands for measles, mumps and rubella.  a child recieves two MMR doses- the first at one-year old and the second at four-years old.  Dr. White, a virologist and expert on MMR vaccines say they are effective in preventing these dangerous diseases. Dr. Moore, an ecologist who is not an expert on vaccines, is against the use of vaccines, because the risks, such as severe allergic reactions, far outweigh the benefits.",2,203279
,,,,,,
user01,M1,F2b,4,"A stem cell is a type of cell that can replicate itself indefinitely.  They are used in the growth of specialty tissue, such as for the heart, muscle, and brain tissues.  Dr. King, a biologist who is an expert on stem cells, supports the use of stem cells to help regrow damaged tissue in patients.  Dr Harris, on the other hand, is a chemist and not an expert on stem cells, and says that stem cells can easily grow tumors because they start out as un-specialized cells.",2,209579
,,,,,,
user01,M1,N5d,1,"A local organization has reserved the public ampitheater for a concert.  The band who will play has strong political views and occassionally uses explicit lyrics.  The ampitheater is located in the heart of the city, so concerts held there can be heard throughout the city.  The concert is planned for a Saturday afternoon in the summer.  Some support the concert because of free speech.  Other consider it a public nuisance and say that the concert shouldnt be held at all.",2,215283
,,,,,,
user01,M1,N6d,2,A large oil company is proposing off- shore drilling near a bay.  The proposed site would be ten miles off-shore.  The site is close to a popular tourist destination and beaches.  Some local community members believe saying no will discourage future business opportunities.  Others say that drilling may cause significant harm to local wildlife and habitats.,2,172695
,,,,,,
user01,M1,N4d,0,"A new bill has been proposed and is currentky being debated in the state legislature.  The bill is to protect businesses from doing business with anyone based on religious beliefs.  This bill is similar to those being passed in other states.  Supporters say that without its protections, business owners would have to choose between their religion and their livelihoods.  Opponents say that the bill would allow for discrimination against people who share different beliefs.",2,252133
,,,,,,
user01,L1,N3a,2,A well-known chemical company is seeking to buy land in a new region. The company wants to move into a region with economic stability. The move would provide more jobs and growth if they moved.,2,85394
,,,,,,
user01,L1,U3c,5,Bioremediation is a process of removing waste by neutralizing the soil. Bioremediation removes the waste by neutralizing the pH of the bacteria in the soil.,2,136079
,,,,,,
user01,L1,U2a,4,"Over the years, infections have become antibiotic resistant do to an overuse of antibiotics. Dr. Moore, an molecular epidemiologist, advocates the funding in research of antibiotics and it is shown to have great effects in Eastern Europe.",2,103053
,,,,,,
user01,L1,N1a,0,A local museum is opening for modern art. The works will feature local and up and coming artists' artworks. Some of these artworks are graphic and contain nudity. Some people are opposed to this artwork and some are very for young artists expressing their thoughts.,2,109503
,,,,,,
user01,L1,U1a,3,"New research on a new element named thorium, could potentially replace uranium. Neutrons that leak out of the fuel emission cant undergo fission. Dr. Alexander states that this finding could potentially save money since uranium is an expensive element.",2,173883
,,,,,,
user01,L1,N2a,1,A new bill is being proposed to Congress. This bill provides economic assistance to individuals who are at or below the poverty level. This bill would cost around 10 billion over a six year period. Congress shares a sentiment that this bill will go a long way over the next few years while another sentiment around town hall meetings says that this bill will do more harm than good.,2,164374
,,,,,,
user01,L1,U1a,3,"Research is being conducted to replace uranium with thorium.  Uranium causes leaks in nuclear structures due to fission.  Dr. Johnson, an expert on thorium, supports using thorium as a replacement because it is a safer alternative.  Dr. Williams, a biologist who is not an expert on thorium, supports the switch from uranium to thorium because of the lower cost of thorium.",2,108781
,,,,,,
user01,L1,N2a,1,"Congress is currently debating a bill that would help needy families who earn at or below the poverty level.  The proposed bill would earmark 10 billion dollars over the next 6 years for aid to these families.  Members of congress have been holding town hall meetings to gather constituent opinions.  Some constituents have expressed support for the bill because the minimum wage is no longer a living wage.  Other constituents expressed doubt about the bill, citing that it would essentially force wealthier citizens to subsidize less ambitious citizens.",2,140736
,,,,,,
user01,L1,N3a,2,"A well-known chemical company is seeking to buy a plot of land from the country.  It is looking to expand in the region of the this land, and would like to build an operational plant within the next year.  Although this plot is their first choice, they are also looking into other alternative places to build out.  Some community members expressed support for the bill, citing the jobs and economic growth that a new plant would bring.  Other communities expressed support for the bill, saying that environmental concerns are overblown.",2,104165
,,,,,,
user01,L1,U2a,4,"Because many strains of bacteria have become resistant to antibiotics because of over-use, researchers have started to look into phage therapy as an alternative to antibiotics.  Dr. Moore, a molecular epidemiologist and expert on phage therapy, supports the transition because phages are less resistance-inducing than antibiotics.  Dr. Wilson, a physicist who is not an expert on phage therapy, supports the transition because there are so many combinations of phages that they are less resistance-prone.",2,152459
